SF3,
12.78,3248
12.79,3264
12.8,3279
12.81,3294
12.82,3310
12.83,3325
12.84,3341
12.85,3356
12.86,3372
12.87,3388
12.88,3404
12.89,3419
12.9,3435
12.91,3451
12.92,3467
12.93,3483
12.94,3499
12.95,3515
12.96,3531
12.97,3547
12.98,3564
12.99,3580
13,3596
13.01,3613
13.02,3629
13.03,3646
13.04,3662
13.05,3679
13.06,3695
13.07,3712
13.08,3729
13.09,3746
13.1,3763
13.11,3779
13.12,3796
13.13,3813
13.14,3830
13.15,3848
13.16,3865
13.17,3882
13.18,3899
13.19,3917
13.2,3934
13.21,3951
13.22,3969
13.23,3986
13.24,4004
13.25,4022
13.26,4039
13.27,4057
13.28,4075
13.29,4093
13.3,4111
13.31,4128
13.32,4146
13.33,4165
13.34,4183
13.35,4201
13.36,4219
13.37,4237
13.38,4256
13.39,4274
13.4,4292
13.41,4311
13.42,4329
13.43,4348
13.44,4367
13.45,4385
13.46,4404
13.47,4423
13.48,4442
13.49,4461
13.5,4480
13.51,4499
13.52,4518
13.53,4537
13.54,4556
13.55,4575
13.56,4595
13.57,4614
13.58,4633
13.59,4653
13.6,4672
13.61,4692
13.62,4712
13.63,4731
13.64,4751
13.65,4771
13.66,4791
13.67,4811
13.68,4831
13.69,4851
13.7,4871
13.71,4891
13.72,4911
13.73,4931
13.74,4952
13.75,4972
13.76,4993
13.77,5013
13.78,5034
13.79,5054
13.8,5075
13.81,5096
13.82,5116
13.83,5137
13.84,5158
13.85,5179
13.86,5200
13.87,5221
13.88,5242
13.89,5263
13.9,5284
13.91,5306
13.92,5327
13.93,5349
13.94,5370
13.95,5392
13.96,5413
13.97,5435
13.98,5456
13.99,5478
14,5500
